City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,sandnessjoen,66.0217,12.6316,19.29000000000002,82,20,2.06,NO,2023-06-28
64,taoudenni,22.6783,-3.9836,40.670000000000016,12,13,5.8,ML,2023-06-28
65,tiksi,71.6872,128.8694,8.720000000000027,85,91,0.39,RU,2023-06-28
66,changling,44.2653,124.0005,21.110000000000014,69,100,1.34,CN,2023-06-28
67,frenstat pod radhostem,49.5484,18.2108,15.230000000000018,82,100,1.03,CZ,2023-06-28
68,kingscliff,-28.2667,153.5667,18.890000000000043,59,100,2.06,AU,2023-06-28
69,pangai,-19.8,-174.35,24.060000000000002,73,20,5.14,TO,2023-06-28
70,longyearbyen,78.2186,15.6401,7.910000000000025,76,75,4.12,SJ,2023-06-28
71,lillehammer,61.1146,10.4674,18.730000000000018,67,100,1.61,NO,2023-06-28
72,margaret river,-33.95,115.0667,10.490000000000009,76,100,2.17,AU,2023-06-28
73,east london,-33.0153,27.9116,16.600000000000023,81,24,3.2,ZA,2023-06-28
74,kidal,18.4411,1.4078,38.32000000000005,13,14,4.58,ML,2023-06-28
75,cidreira,-30.1811,-50.2056,15.220000000000027,87,100,6.74,BR,2023-06-28
76,carnarvon,-24.8667,113.6333,13.480000000000018,49,0,8.12,AU,2023-06-28
77,bodaybo,57.8506,114.1933,12.090000000000032,86,100,0.9,RU,2023-06-28
78,armacao de buzios,-22.7469,-41.8817,28.03000000000003,80,0,5.98,BR,2023-06-28
79,ushuaia,-54.8,-68.3,-1.2099999999999795,91,5,2.06,AR,2023-06-28
80,port-vila,-17.7338,168.3219,16.78000000000003,100,40,0.51,VU,2023-06-28
81,vorgashor,67.5833,63.95,5.4500000000000455,66,13,2.88,RU,2023-06-28
82,paita,-5.0892,-81.1144,24.77000000000004,71,1,7.73,PE,2023-06-28
83,nuuk,64.1835,-51.7216,6.340000000000032,75,40,3.6,GL,2023-06-28
84,hasaki,35.7333,140.8333,24.010000000000048,95,90,1.94,JP,2023-06-28
85,pandan,14.0453,124.1694,26.640000000000043,85,100,2.59,PH,2023-06-28
86,isafjordur,66.0755,-23.124,5.840000000000032,89,100,4.25,IS,2023-06-28
87,aykhal,66.0,111.5,12.100000000000023,49,100,2.77,RU,2023-06-28
88,mount gambier,-37.8333,140.7667,8.330000000000041,79,100,3.01,AU,2023-06-28
89,sarmiento,-45.5882,-69.07,5.0400000000000205,63,100,0.4,AR,2023-06-28
90,eastham,41.8301,-69.9739,26.08000000000004,84,75,3.6,US,2023-06-28
91,mount isa,-20.7333,139.5,16.870000000000005,72,32,5.14,AU,2023-06-28
92,kuala tungkal,-0.8167,103.4667,24.150000000000034,93,55,2.17,ID,2023-06-28
93,korla,41.7597,86.1469,26.939999999999998,29,100,5.2,CN,2023-06-28
94,ikot ekpene,5.1794,7.7108,22.960000000000036,96,100,2.38,NG,2023-06-28
95,lincolnwood,42.0045,-87.7301,30.75,44,75,5.66,US,2023-06-28
96,whitehorse,60.7161,-135.0538,22.83000000000004,40,75,4.63,CA,2023-06-28
97,candelaria,13.9311,121.4233,25.77000000000004,94,98,1.61,PH,2023-06-28
98,anadyr,64.75,177.4833,8.28000000000003,93,100,1.0,RU,2023-06-28
99,pathein,16.7833,94.7333,26.510000000000048,88,99,2.34,MM,2023-06-28
100,north bay,46.3168,-79.4663,22.75,49,0,5.14,CA,2023-06-28
101,morant bay,17.8815,-76.4093,31.79000000000002,71,42,4.51,JM,2023-06-28
102,verkhniy mamon,50.1635,40.3832,16.99000000000001,89,100,4.22,RU,2023-06-28
103,vardenik,40.1393,45.4334,15.629999999999995,76,91,2.74,AM,2023-06-28
104,sitka,57.0531,-135.33,14.939999999999998,88,75,1.54,US,2023-06-28
105,selfoss,63.9331,-20.9971,8.910000000000025,85,91,12.26,IS,2023-06-28
106,meizhou,24.2977,116.1072,24.340000000000032,97,100,0.92,CN,2023-06-28
107,petropavlovsk-kamchatsky,53.0452,158.6483,11.330000000000041,94,75,1.0,RU,2023-06-28
108,moyynkum,44.2914,72.9469,23.140000000000043,31,95,4.21,KZ,2023-06-28
109,richards bay,-28.783,32.0377,20.29000000000002,63,7,6.73,ZA,2023-06-28
110,katsuura,35.1333,140.3,23.28000000000003,88,73,5.62,JP,2023-06-28
111,nikolayevsk-on-amure,53.1406,140.73,12.220000000000027,90,100,1.75,RU,2023-06-28
112,kodiak,57.79,-152.4072,8.730000000000018,93,100,2.06,US,2023-06-28
113,vernon,50.2581,-119.2691,30.420000000000016,33,15,1.03,CA,2023-06-28
